ori,2019,2021,increase
TX2260100,196.0,180.0,0
TX2270100,1567.0,2158.0,1
TX2270900,27.0,48.0,1
TX2350100,156.0,195.0,1
TX2400100,385.0,446.0,1
TX2460000,79.0,88.0,1
TX2460200,34.0,44.0,1
TX2490000,39.0,32.0,0
TXDPD0000,4495.0,5415.0,1
TXHPD0000,11091.0,15105.0,1
UT0030100,19.0,19.0,0
UT0060300,35.0,33.0,0
UT0180000,279.0,245.0,0
UT0180300,483.0,822.0,1
UT0180600,82.0,98.0,1
UT0181800,18.0,24.0,1
UT0182500,308.0,296.0,0
UT0250000,14.0,18.0,1
UT0250600,36.0,32.0,0
UT0270100,38.0,64.0,1
UT0290000,25.0,51.0,1
UT0290100,134.0,204.0,1
VA0020300,49.0,60.0,1
VA0070100,110.0,202.0,1
VA0080000,54.0,48.0,0
VA0100000,20.0,36.0,1
VA0160000,35.0,48.0,1
VA0210100,111.0,196.0,1
VA0290100,275.0,267.0,0
VA0300000,15.0,10.0,0
VA0330000,23.0,22.0,0
VA0340000,32.0,22.0,0
VA0420000,58.0,75.0,1
VA0430100,210.0,297.0,1
VA0470100,43.0,49.0,1
VA0530000,109.0,72.0,0
VA0530100,47.0,60.0,1
VA0710000,22.0,21.0,0
VA0750300,291.0,411.0,1
VA0800300,101.0,125.0,1
VA0820000,7.0,37.0,1
VA0880000,36.0,42.0,1
VA0890000,125.0,146.0,1
VA0980000,26.0,39.0,1
VA0990000,109.0,179.0,1
VA1030000,608.0,686.0,1
VA1110000,163.0,168.0,1
VA1120000,43.0,52.0,1
VA1140000,130.0,157.0,1
VA1160000,514.0,621.0,1
VA1170000,488.0,785.0,1
VA1200000,422.0,381.0,0
VA1220000,434.0,412.0,0
VA1230000,166.0,218.0,1
VA1270000,113.0,211.0,1
VA1280000,132.0,116.0,0
WA0030100,90.0,109.0,1
WA0030200,35.0,58.0,1
WA0060000,55.0,83.0,1
WA0060300,168.0,364.0,1
WA0110200,65.0,87.0,1
WA0150000,24.0,19.0,0
WA0170000,223.0,253.0,1
WA0170100,104.0,104.0,0
WA0170200,51.0,61.0,1
WA0170700,100.0,154.0,1
WA0170800,18.0,12.0,0
WA0171200,34.0,32.0,0
WA0171300,70.0,109.0,1
WA0173600,92.0,171.0,1
WA0174100,64.0,88.0,1
WA0174300,28.0,34.0,1
WA0175000,10.0,7.0,0
WA0180000,102.0,106.0,1
WA0230000,48.0,44.0,0
WA0270000,430.0,564.0,1
WA0270300,797.0,1297.0,1
WA0272300,166.0,181.0,1
WA0290000,33.0,26.0,0
WA0310000,176.0,216.0,1
WA0310300,104.0,135.0,1
WA0310500,42.0,40.0,0
WA0320000,93.0,114.0,1
WA0320400,725.0,723.0,0
WA0321500,146.0,157.0,1
WA0340000,69.0,83.0,1
WA0340100,52.0,46.0,0
WA0340400,26.0,19.0,0
WA0370000,43.0,40.0,0
WA0370100,61.0,114.0,1
WA0390000,66.0,58.0,0
WA0390500,138.0,192.0,1
WASPD0000,1965.0,2816.0,1
WI0050000,11.0,8.0,0
WI0050200,202.0,175.0,0
WI0130000,38.0,51.0,1
WI0130100,296.0,312.0,1
