ori,,2019,2021,perc_21_19
MI8018000,Van Buren County Sheriff's Office,11.0,9.0,0.8181818181818182
MI8118100,Washtenaw County Sheriff's Office,67.0,92.0,1.373134328358209
MI8121800,Ann Arbor Police Department,19.0,28.0,1.4736842105263157
MI8234300,Dearborn Police Department,48.0,88.0,1.8333333333333333
MI8234400,Dearborn Heights Police Department,24.0,51.0,2.125
MI8234900,Detroit Police Department,3163.0,4379.0,1.38444514701233
MI8253800,Livonia Police Department,27.0,36.0,1.3333333333333333
MI8277500,Taylor Police Department,46.0,76.0,1.6521739130434783
MI8281700,Westland Police Department,33.0,77.0,2.3333333333333335
MI8290800,Canton Township Police Department,11.0,26.0,2.3636363636363638
MN0100000,Carver County Sheriff's Office,2.0,3.0,1.5
MN0270300,Brooklyn Park Police Department,,66.0,
MN0271100,Minneapolis Police Department,486.0,1101.0,2.265432098765432
MN0550100,Rochester Police Department,20.0,31.0,1.55
MN0620000,Ramsey County Sheriff's Office,16.0,28.0,1.75
MN0690000,St. Louis County Sheriff's Office,2.0,6.0,3.0
MO0100200,Columbia Police Department,17.0,123.0,7.235294117647059
MO0110100,St. Joseph Police Department,62.0,45.0,0.7258064516129032
MO0360000,Franklin County Sheriff's Office,4.0,10.0,2.5
MO0490700,Joplin Police Department,20.0,28.0,1.4
MO0920300,St. Charles Police Department,7.0,35.0,5.0
MO0920400,St. Peters Police Department,6.0,9.0,1.5
MOKPD0000,Kansas City Police Department,1565.0,1910.0,1.220447284345048
MS0170100,Southaven Police Department,15.0,34.0,2.2666666666666666
MS0240000,Harrison County Sheriff's Office,7.0,9.0,1.2857142857142858
MS0240200,Gulfport Police Department,68.0,76.0,1.1176470588235294
MT0070100,Great Falls Police Department,14.0,33.0,2.357142857142857
MT0150000,Flathead County Sheriff's Office,30.0,34.0,1.1333333333333333
MT0160000,Gallatin County Sheriff's Office,16.0,20.0,1.25
MT0160100,Bozeman Police Department,2.0,17.0,8.5
MT0320100,Missoula Police Department,14.0,38.0,2.7142857142857144
MT0560100,Billings Police Department,37.0,158.0,4.27027027027027
NB0280000,Douglas County Sheriff's Office,3.0,9.0,3.0
NB0400100,Grand Island Police Department,13.0,13.0,1.0
NB0770000,Sarpy County Sheriff's Office,0.0,0.0,
NB0770100,Bellevue Police Department,3.0,1.0,0.3333333333333333
