ori,2019,2020,2021,2019_pop,2020_pop,2021_pop,2019pc,2020pc,2021pc,perc_21_19,perc_pc_21_19
CODPD0000,8921.0,8989.0,9147.0,728941,737709.0,740209,0.012238301865308715,0.012185021465103448,0.01235732070266641,1.0253334827934089,1.009725110449765
CT0001500,2562.0,1995.0,1820.0,144908,144350.0,143394,0.017680183288707317,0.013820574991340491,0.012692302327851932,0.7103825136612022,0.717882960860409
CT0001700,346.0,341.0,322.0,59977,59886.0,59659,0.0057688780699268055,0.00569415222255619,0.005397341557853802,0.930635838150289,0.935596400622536
CT0003400,695.0,601.0,729.0,85167,85080.0,84631,0.00816043772822807,0.007063939821344616,0.00861386489584195,1.0489208633093525,1.0555640742218293
CT0005100,124.0,117.0,174.0,62239,62311.0,62473,0.001992319928019409,0.001877678098570076,0.0027852032077857634,1.403225806451613,1.397969858462727
CT0005700,41.0,38.0,42.0,62905,63012.0,62917,0.0006517764883554566,0.0006030597346537167,0.0006675461322059221,1.024390243902439,1.0241948645466714
CT0006200,249.0,258.0,383.0,60855,60440.0,60165,0.004091693369484841,0.004268696227663799,0.006365827308235685,1.538152610441767,1.5557928547898903
CT0009300,3890.0,3474.0,3559.0,130494,130299.0,130903,0.02980979968427667,0.026661754886837197,0.027188070556060595,0.9149100257069409,0.9120514342268821
CT0010300,775.0,705.0,688.0,89440,89140.0,88930,0.008665026833631484,0.007908907336773614,0.007736421904868998,0.8877419354838709,0.8928330002212687
CT0013500,1138.0,1191.0,1314.0,130678,130425.0,132292,0.008708428350602244,0.009131684876365728,0.009932573398240257,1.1546572934973638,1.1405701463402813
CT0013800,251.0,219.0,245.0,52034,51895.0,51683,0.004823769074066956,0.0042200597360053955,0.004740436894143142,0.9760956175298805,0.9827246747005748
CT0015100,1515.0,1506.0,1896.0,107812,107263.0,106480,0.01405223908284792,0.014040256192722561,0.017806160781367392,1.2514851485148515,1.267140466112727
CT0015500,169.0,131.0,148.0,62875,62911.0,62809,0.002687872763419483,0.0020823067508066954,0.002356350204588514,0.8757396449704142,0.8766598764112594
CT0015600,420.0,417.0,408.0,54794,54516.0,54248,0.007665072818191773,0.0076491305304864626,0.0075210145996165755,0.9714285714285714,0.9812058904080729
CTCSP0000,1155.0,1009.0,1023.0,488454,486773.0,543228,0.002364603422226044,0.0020728347710329046,0.0018831871700280545,0.8857142857142857,0.7964071912977344
DE0020300,2916.0,2683.0,2578.0,418534,422025.0,425296,0.006967175904466542,0.006357443279426574,0.006061660584628118,0.8840877914951989,0.8700312246662362
DE0020600,2069.0,1818.0,1887.0,70624,70100.0,70331,0.02929599003171726,0.02593437945791726,0.026830273990132374,0.9120347994200096,0.9158343500624015
DE301SP00,974.0,894.0,851.0,108712,111326.0,113593,0.00895945249834425,0.00803046907281318,0.007491658817004569,0.8737166324435318,0.8361737303020541
DE303SP00,2067.0,2034.0,1912.0,177359,183155.0,189948,0.01165432822692956,0.011105347929349458,0.010065912776128203,0.9250120948234156,0.8637059622938181
GA0380000,780.0,725.0,764.0,99300,99880.0,100674,0.00785498489425982,0.0072587104525430515,0.0075888511432941974,0.9794871794871794,0.9661191263193766
GA0605600,465.0,583.0,729.0,110760,111219.0,111533,0.004198266522210184,0.005241910105287765,0.0065361821165036355,1.5677419354838709,1.5568764112342854
GA0690000,693.0,826.0,960.0,147178,146774.0,147037,0.004708584163393986,0.0056276997288348075,0.006528968898984609,1.3852813852813852,1.3866097902088843
GA1070000,93.0,1022.0,1169.0,92706,94745.0,96133,0.001003171315772442,0.01078684891023273,0.012160236339238347,12.56989247311828,12.121794301778818
GA1100000,1129.0,1968.0,2075.0,148429,152714.0,157159,0.007606330299335036,0.01288683421297327,0.013203189126935142,1.837909654561559,1.7358159069281276
HI0020000,8515.0,7676.0,8657.0,974902,966438.0,985138,0.00873421123353937,0.007942568483441255,0.00878760133098104,1.0166764533176746,1.006112755464014
IA0070300,790.0,923.0,1020.0,67723,67200.0,67174,0.011665165453391019,0.013735119047619048,0.01518444636317623,1.2911392405063291,1.3016914696878277
IA0310100,830.0,1073.0,1065.0,57973,57904.0,57790,0.014317009642419748,0.018530671456203372,0.018428793908980792,1.283132530120482,1.2871957461269197
IA0520200,650.0,652.0,945.0,77390,75964.0,77522,0.008399017960976871,0.008583013006160814,0.012190087975026444,1.4538461538461538,1.4513706282881484
IA0570100,1285.0,1392.0,1951.0,134007,134330.0,134763,0.00958905131821472,0.010362540013399837,0.014477267499239405,1.5182879377431906,1.509770572584105
IA0770000,589.0,501.0,555.0,52254,55177.0,59719,0.011271864354881924,0.009079870235786651,0.009293524673889383,0.9422750424448217,0.8244886898292288
IA0770100,537.0,572.0,557.0,68238,70301.0,73109,0.007869515519212169,0.008136441871381631,0.007618761028054002,1.037243947858473,0.9681359684028845
IA0770300,4779.0,4511.0,4253.0,218384,215290.0,213060,0.02188347131657997,0.020953132983417715,0.019961513188773115,0.889935132872986,0.912173068888267
