ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
MT0150000,Flathead County Sheriff's Office,30,34,34,1,1.133333333,1.133333333
MT0160000,Gallatin County Sheriff's Office,16,15,20,1,0.9375,1.25
MT0160100,Bozeman Police Department,2,16,17,1,8,8.5
MT0320100,Missoula Police Department,14,28,38,1,2,2.714285714
MT0560100,Billings Police Department,37,95,158,1,2.567567568,4.27027027
NB0280000,Douglas County Sheriff's Office,3,4,9,1,1.333333333,3
NB0400100,Grand Island Police Department,13,18,13,1,1.384615385,1
NB0770000,Sarpy County Sheriff's Office,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
NB0770100,Bellevue Police Department,3,0,1,1,0,0.333333333
NC0010000,Alamance County Sheriff's Office,28,41,47,1,1.464285714,1.678571429
NC0010100,Burlington Police Department,65,104,117,1,1.6,1.8
NC0110000,Buncombe County Sheriff's Office,51,32,23,1,0.62745098,0.450980392
NC0110100,Asheville Police Department,115,127,118,1,1.104347826,1.026086957
NC0120000,Burke County Sheriff's Office,13,19,16,1,1.461538462,1.230769231
NC0130000,Cabarrus County Sheriff's Office,7,8,10,1,1.142857143,1.428571429
NC0130100,Concord Police Department,30,34,24,1,1.133333333,0.8
NC0130200,Kannapolis Police Department,27,46,37,1,1.703703704,1.37037037
NC0140000,Caldwell County Sheriff's Office,16,12,19,1,0.75,1.1875
NC0190000,Chatham County Sheriff's Office,5,15,15,1,3,3
NC0230000,Cleveland County Sheriff's Office,19,24,38,1,1.263157895,2
NC0260100,Fayetteville Police Department,340,532,571,1,1.564705882,1.679411765
NC0320100,Durham Police Department,410,615,574,1,1.5,1.4
NC0330100,Rocky Mount Police Department,121,177,145,1,1.462809917,1.198347107
NC0350000,Franklin County Sheriff's Office,16,34,25,1,2.125,1.5625
NC0410000,Guilford County Sheriff's Office,53,59,55,1,1.113207547,1.037735849
NC0410200,Greensboro Police Department,522,620,553,1,1.187739464,1.059386973
NC0410300,High Point Police Department,246,232,171,1,0.943089431,0.695121951
NC0490000,Iredell County Sheriff's Office,20,28,32,1,1.4,1.6
NC0510000,Johnston County Sheriff's Office,16,23,32,1,1.4375,2
NC0550000,Lincoln County Sheriff's Office,26,48,28,1,1.846153846,1.076923077
NC0600100,Charlotte-Mecklenburg Police Department,1517,2032,2079,1,1.339485827,1.370468029
NC0600600,Huntersville Police Department,15,31,20,1,2.066666667,1.333333333
NC0630000,Moore County Sheriff's Office,6,9,5,1,1.5,0.833333333
NC0650000,New Hanover County Sheriff's Office,26,23,25,1,0.884615385,0.961538462
NC0650200,Wilmington Police Department,165,189,122,1,1.145454545,0.739393939
NC0680000,Orange County Sheriff's Office,12,20,24,1,1.666666667,2
NC0680100,Chapel Hill Police Department,3,18,16,1,6,5.333333333
NC0740000,Pitt County Sheriff's Office,24,41,32,1,1.708333333,1.333333333
NC0740300,Greenville Police Department,100,108,120,1,1.08,1.2
NC0780000,Robeson County Sheriff's Office,207,322,360,1,1.555555556,1.739130435
NC0790000,Rockingham County Sheriff's Office,9,16,8,1,1.777777778,0.888888889
NC0800000,Rowan County Sheriff's Office,19,37,41,1,1.947368421,2.157894737
NC0820000,Sampson County Sheriff's Office,40,30,35,1,0.75,0.875
NC0900000,Union County Sheriff's Office,35,57,56,1,1.628571429,1.6
NC0920000,Wake County Sheriff's Office,30,47,49,1,1.566666667,1.633333333
NC0920100,Raleigh Police Department,203,376,489,1,1.852216749,2.408866995
NC0920200,Apex Police Department,7,2,4,1,0.285714286,0.571428571
NC0920300,Cary Police Department,16,20,32,1,1.25,2
NC0960000,Wayne County Sheriff's Office,43,51,50,1,1.186046512,1.162790698
NC0970000,Wilkes County Sheriff's Office,18,24,14,1,1.333333333,0.777777778
ND0080100,Bismarck Police Department,2,9,3,1,4.5,1.5
ND0090200,Fargo Police Department,6,14,18,1,2.333333333,3
ND0180100,Grand Forks Police Department,1,3,4,1,3,4
NH0063400,Manchester Police Department,104,143,95,1,1.375,0.913461538
NH0064600,Nashua Police Department,1,3,2,1,3,2
NM0010100,Albuquerque Police Department,1211,1574,1708,1,1.299752271,1.410404624
NM0070000,Dona Ana County Sheriff's Office,17,57,64,1,3.352941176,3.764705882
OH0091500,West Chester Township Police Department,4,15,16,1,3.75,4
