ori,,inc
NC0510000,Johnston County Sheriff's Office,1
NC0550000,Lincoln County Sheriff's Office,1
NC0600100,Charlotte-Mecklenburg Police Department,1
NC0600600,Huntersville Police Department,1
NC0630000,Moore County Sheriff's Office,0
NC0650000,New Hanover County Sheriff's Office,0
NC0650200,Wilmington Police Department,0
NC0680000,Orange County Sheriff's Office,1
NC0680100,Chapel Hill Police Department,1
NC0740000,Pitt County Sheriff's Office,1
NC0740300,Greenville Police Department,1
NC0780000,Robeson County Sheriff's Office,1
NC0790000,Rockingham County Sheriff's Office,0
NC0800000,Rowan County Sheriff's Office,1
NC0820000,Sampson County Sheriff's Office,0
NC0900000,Union County Sheriff's Office,1
NC0920000,Wake County Sheriff's Office,1
NC0920100,Raleigh Police Department,1
NC0920200,Apex Police Department,0
NC0920300,Cary Police Department,1
NC0960000,Wayne County Sheriff's Office,1
NC0970000,Wilkes County Sheriff's Office,0
ND0080100,Bismarck Police Department,1
ND0090200,Fargo Police Department,1
ND0180100,Grand Forks Police Department,1
NH0063400,Manchester Police Department,0
NH0064600,Nashua Police Department,1
NM0010100,Albuquerque Police Department,1
NM0070000,Dona Ana County Sheriff's Office,1
OH0091500,West Chester Township Police Department,1
OH0120000,Clark County Sheriff's Office,1
OH0130000,Clermont County Sheriff's Office,0
OH0184200,Parma Police Department,1
OH0230000,Fairfield County Sheriff's Office,0
OH0250000,Franklin County Sheriff's Office,1
OH0250300,Dublin Police Department,0
OH0314200,Colerain Township Police Department,1
OH0314400,Green Township Police Department,1
OH0450100,Newark Police Department,1
OH0470000,Lorain County Sheriff's Office,1
OH0470400,Elyria Police Department,1
OH0470500,Lorain Police Department,1
OH0480000,Lucas County Sheriff's Office,0
OH0480700,Toledo Police Department,1
OH0500900,Youngstown Police Department,1
OH0570000,Montgomery County Sheriff's Office,1
OH0570200,Dayton Police Department,1
OH0700000,Richland County Sheriff's Office,1
OH0710000,Ross County Sheriff's Office,0
OH0730000,Scioto County Sheriff's Office,0
OH0760000,Stark County Sheriff's Office,1
OH0760400,Canton Police Department,1
OH0770000,Summit County Sheriff's Office,1
OH0770100,Akron Police Department,1
OH0830000,Warren County Sheriff's Office,1
OH0850000,Wayne County Sheriff's Office,1
OHCIP0000,Cincinnati Police Department,1
OHCLP0000,Cleveland Police Department,1
OHCOP0000,Columbus Police Department,1
OK0140200,Norman Police Department,1
OK0550300,Edmond Police Department,1
OK0600200,Stillwater Police Department,0
OR0020100,Corvallis Police Department,1
